"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 05 12:33:48 GMT 2025","Mon May 05 12:33:58 GMT 2025","9613","","tests.uiTests.UiTests","","tests.uiTests.UiTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
"passed","Mon May 05 12:33:46 GMT 2025","Mon May 05 12:33:48 GMT 2025","2001","","tests.uiTests.UiPomTests","","tests.uiTests.UiPomTests","loginPomTest","loginPomTest()",""
"passed","Mon May 05 12:33:59 GMT 2025","Mon May 05 12:34:08 GMT 2025","8556","","tests.uiTests.UiTests","","tests.uiTests.UiTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
"passed","Mon May 05 12:33:43 GMT 2025","Mon May 05 12:33:45 GMT 2025","1950","","tests.apiTests.PetUserTests","","tests.apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)",""
"passed","Mon May 05 12:33:46 GMT 2025","Mon May 05 12:33:46 GMT 2025","39","","tests.apiTests.PetUserTests","","tests.apiTests.PetUserTests","createUser","createUser()",""
"passed","Mon May 05 12:33:46 GMT 2025","Mon May 05 12:33:46 GMT 2025","47","","tests.apiTests.PetUserTests","","tests.apiTests.PetUserTests","createUserControllerTest","createUserControllerTest()",""
"passed","Mon May 05 12:33:46 GMT 2025","Mon May 05 12:33:46 GMT 2025","49","","tests.apiTests.PetUserTests","","tests.apiTests.PetUserTests","createInvalidUserControllerTest","createInvalidUserControllerTest()",""
"passed","Mon May 05 12:33:58 GMT 2025","Mon May 05 12:33:59 GMT 2025","1493","","tests.uiTests.UiTests","","tests.uiTests.UiTests","submitWebFormTest","submitWebFormTest()",""
"passed","Mon May 05 12:33:45 GMT 2025","Mon May 05 12:33:46 GMT 2025","728","","tests.apiTests.PetUserTests","","tests.apiTests.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Mon May 05 12:33:45 GMT 2025","Mon May 05 12:33:45 GMT 2025","68","","tests.apiTests.PetUserTests","","tests.apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=0)",""
